run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see but there,"broad peaks, overlapping",none,BCC,1.5,4,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_2.1_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,high,136,BCC,very messy crosses,double coord num 14,"BCC peaks, broad peaks",tetrahedral sim box,FCC,2.1,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_2.0_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,medium,136,BCC,messy crosses,double coord num 14,"BCC peaks, broad peaks",tetrahedral sim box,FCC,2,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.95_eps_-70_EE_4_chn_num_3_linker_10,"",BCC,medium,136,BCC,messy crosses,double coord num 14,"BCC peaks, broad peaks",tetrahedral sim box,FCC,1.95,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.9_eps_-70_EE_4_chn_num_3_linker_10,"",no ID,low,136,"lattice, no ID",localized in weird line things,"ccord num 4, triple coord num 16","unkown peaks, almost pristine peaks",tetragonal sim box,FCC,1.9,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.7_eps_-70_EE_4_chn_num_3_linker_10,"",no ID,low,136,"lattice, no ID",localized in weird line things,"ccord num 4, triple coord num 16","unkown peaks, almost pristine peaks",tetragonal sim box,FCC,1.7,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_10,"",no ID,low,136,"lattice, no ID",localized in weird line things,"ccord num 4, triple coord num 16","unkown peaks, almost pristine peaks",tetragonal sim box,FCC,1.5,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_10,"",no ID,low,136,"lattice, no ID",localized in weird line things,"ccord num 4, triple coord num 16","unkown peaks, almost pristine peaks",tetragonal sim box,FCC,1.3,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_4_chn_num_3_linker_10,"",fluid,low,136,"lattice, no ID (prsence of jammed planes)",localized in weird line things,quadruple coord num 16,overlapped peaks but indentifiable ones,tetragonal sim box,BCC,0.9,4,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_4_chn_num_3_linker_10,"",NA,medium_low,136,HCP type llatice with insterted layer of ACs,"region dependent, neat sublattices",double coord num 8,crystalline peaks,"maybe NiAs, peaks: 10.4, 11.5, 14.4, 18, 18.3",BCC,0.7,4,3,10
